ID,Learner_Proficiency,Topic,Original_Sentence,Error_Type,Corrected_Sentence,Grammar_Rule,POS_Tagged,Tokenized,Error_Position
840,Intermediate,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
841,Advanced,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
842,Intermediate,Daily Life,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
843,Intermediate,Education,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
844,Advanced,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
845,Intermediate,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
846,Advanced,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
847,Beginner,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,6
848,Intermediate,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
849,Beginner,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
850,Beginner,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
851,Advanced,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
852,Intermediate,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
853,Advanced,Travel,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
854,Intermediate,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,2
855,Beginner,Education,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
856,Beginner,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
857,Intermediate,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
858,Beginner,Work,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
859,Intermediate,Daily Life,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
860,Intermediate,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
861,Beginner,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
862,Advanced,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,1
863,Advanced,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
864,Beginner,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,1
865,Advanced,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
866,Beginner,Daily Life,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
867,Intermediate,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
868,Beginner,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
869,Advanced,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
870,Advanced,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
871,Beginner,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
872,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
873,Beginner,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
874,Advanced,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
875,Advanced,Travel,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
876,Beginner,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
877,Beginner,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
878,Beginner,Sports,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
879,Advanced,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,6
880,Beginner,Work,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
881,Advanced,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
882,Beginner,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
883,Advanced,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
884,Intermediate,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
885,Beginner,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,4
886,Intermediate,Health,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
887,Beginner,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,4
888,Beginner,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
889,Intermediate,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
890,Intermediate,Daily Life,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
891,Advanced,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
892,Intermediate,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
893,Advanced,Technology,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,1
894,Intermediate,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
895,Intermediate,Work,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,4
896,Beginner,Work,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
897,Advanced,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,2
898,Beginner,Sports,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
899,Intermediate,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
900,Beginner,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
901,Intermediate,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
902,Advanced,Health,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
903,Advanced,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
904,Advanced,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
905,Beginner,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
906,Intermediate,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
907,Beginner,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
908,Intermediate,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
909,Advanced,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
910,Intermediate,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
911,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
912,Intermediate,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
913,Advanced,Travel,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
914,Intermediate,Health,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
915,Advanced,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
916,Beginner,Travel,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
917,Advanced,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
918,Advanced,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,1
919,Intermediate,Health,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,3
920,Beginner,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
921,Advanced,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
922,Intermediate,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,4
923,Advanced,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
924,Beginner,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
925,Advanced,Daily Life,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
926,Beginner,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,6
927,Beginner,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
928,Beginner,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,3
929,Advanced,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
930,Intermediate,Travel,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,5
931,Intermediate,Travel,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
932,Advanced,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
933,Beginner,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,5
934,Intermediate,Sports,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
935,Intermediate,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,2
936,Advanced,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
937,Beginner,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
938,Intermediate,Education,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
939,Intermediate,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
940,Intermediate,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,2
941,Beginner,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,5
942,Advanced,Work,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
943,Intermediate,Daily Life,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,2
944,Advanced,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
945,Beginner,Daily Life,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,1
946,Intermediate,Health,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,0
947,Intermediate,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,3
948,Advanced,Technology,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
949,Beginner,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,2
950,Advanced,Sports,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,5
951,Advanced,Technology,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,5
952,Intermediate,Work,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,0
953,Beginner,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,4
954,Advanced,Education,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,5
955,Advanced,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,6
956,Beginner,Education,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,0
957,Advanced,Technology,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,0
958,Intermediate,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
959,Intermediate,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,3
960,Beginner,Education,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
961,Intermediate,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,4
962,Beginner,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
963,Intermediate,Daily Life,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,0
964,Advanced,Sports,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
965,Beginner,Sports,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
966,Advanced,Work,She go to market yesterday.,Verb Tense,She went to the market yesterday.,Use past tense for actions completed in the past.,She/PRP go/VBP to/TO market/NN yesterday/NN ./.,She go to market yesterday .,3
967,Intermediate,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
968,Beginner,Daily Life,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,1
969,Beginner,Daily Life,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,4
970,Beginner,Technology,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,0
971,Intermediate,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
972,Beginner,Sports,He is married with a doctor.,Preposition,He is married to a doctor.,‘Married to’ is the correct collocation.,He/PRP is/VBZ married/VBN with/IN a/DT doctor/NN ./.,He is married with a doctor .,2
973,Intermediate,Travel,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
974,Beginner,Education,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,3
975,Intermediate,Technology,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,1
976,Beginner,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
977,Intermediate,Technology,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,1
978,Advanced,Education,Always I drink coffee in morning.,Word Order,I always drink coffee in the morning.,Adverbs of frequency go before the main verb.,Always/NNS I/PRP drink/VBP coffee/NN in/IN morning/NN ./.,Always I drink coffee in morning .,6
979,Advanced,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,4
980,Advanced,Sports,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,4
981,Advanced,Travel,I have an homework to finish.,Article,I have homework to finish.,‘Homework’ is uncountable; no article needed.,I/PRP have/VBP an/DT homework/NN to/TO finish/VB ./.,I have an homework to finish .,0
982,Intermediate,Travel,The students was happy.,Subject-Verb Agreement,The students were happy.,Plural subjects require plural verbs.,The/DT students/NNS was/VBD happy/JJ ./.,The students was happy .,1
983,Intermediate,Work,Me and him are friends.,Pronoun,He and I are friends.,Use subject pronouns in the subject position.,Me/NNP and/CC him/PRP are/VBP friends/NNS ./.,Me and him are friends .,1
984,Advanced,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,3
985,Intermediate,Health,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,2
986,Advanced,Education,He bought two breads.,Noun Form,He bought two loaves of bread.,Use correct plural form or measure word.,He/PRP bought/VBD two/CD breads/NNS ./.,He bought two breads .,0
